                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                  1.451,                 1.8037,                0.82218,                0.88272,                 0.6107,                0.45758,                0.47574,                0.27054,                0.77246,                0.28368,                0.34249,                0.17653,                 1.5329,                 1.4331,                 1.1918,                0.91168,               0.008416,               0.008416,               0.008416
                     34,                 1.5573,                 1.7884,                0.83028,                0.87408,                0.75056,                    0.5,                0.54038,                0.29755,                0.48922,                  0.375,                 0.3561,                0.12852,                 1.5249,                 1.4086,                 1.4353,                0.94824,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.4275,                 1.6244,                0.80522,                 0.8602,                0.60673,                  0.375,                 0.3772,                0.19377,                0.41243,                  0.375,                0.33489,                0.13017,                 1.7726,                 1.3395,                 1.6516,                0.96027,               0.008317,               0.008317,               0.008317
                     36,                 1.4769,                 1.7167,                0.79465,                0.87265,                0.54251,                0.29678,                0.31552,                0.15899,                0.33772,                0.45833,                0.33112,                0.14351,                 1.8403,                 1.3428,                 2.0274,                0.97625,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3672,                 1.6917,                 0.7705,                0.86514,                0.64196,                0.45833,                 0.4158,                0.22642,                 0.3844,                0.33333,                0.30243,                0.16951,                 1.6207,                 1.1949,                 1.7268,                0.94596,               0.008218,               0.008218,               0.008218
                     38,                 1.5083,                 1.7062,                0.83175,                0.86975,                0.49577,                0.54167,                 0.4661,                0.24076,                0.47823,                0.41667,                0.41266,                0.19717,                 1.5839,                 1.0505,                  1.779,                0.91833,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.418,                 1.6624,                0.80822,                0.86553,                0.59689,                0.33333,                0.41163,                0.25375,                0.57687,                0.33333,                0.35722,                0.17784,                 1.5455,                 1.0287,                 1.2816,                0.89458,               0.008119,               0.008119,               0.008119
                     40,                 1.4278,                 1.5283,                0.77559,                0.85992,                0.67384,                0.54167,                0.61322,                0.31024,                0.77417,                   0.25,                0.32186,                0.13231,                 1.5092,                 1.1072,                 1.1232,                0.88074,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4399,                 1.7175,                0.79248,                0.86118,                0.57764,                    0.5,                 0.5314,                0.33317,                 0.5128,                0.41667,                0.40048,                0.16996,                 1.3701,                 1.1214,                0.91554,                0.89376,                0.00802,                0.00802,                0.00802
                     42,                 1.4413,                 1.5246,                0.76711,                0.86008,                0.65149,                0.54167,                0.56544,                0.35213,                0.53815,                0.33333,                0.35405,                0.18043,                 1.3545,                 1.1851,                0.76131,                0.90718,              0.0079705,              0.0079705,              0.0079705
